id,course_number,course_name,created_at,updated_at
143,38601,Workshop in Behavioral Science,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
144,38702,Choice Architecture in Practice,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
145,38901,Current Topics in Behavioral Science I:  Intuitive Belief and Consumer Behavior,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
146,38903,Current Topics in Behavioral Science III,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
147,38912,Behavioral Economics,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
148,38914,Foundations of Social Psychology,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
149,38915,Topics in Behavioral Economics,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
150,39001,Strategy and Structure: Markets and Organizations,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
151,39002,Strategic Leadership,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
152,39100,Augmented Intelligence,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
153,39101,Technology Strategy,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
154,39600,Workshop in Organizations and Markets,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
155,40000,Operations Management: Business Process Fundamentals,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
156,40101,Supply Chain Strategy and Practice,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
157,40108,Revenue Management,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
158,40110,Managing Service Operations,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
159,40111,Project Management,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
160,40205,Healthcare Data Analytics,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
161,40721,Healthcare Analytics Lab,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
162,40902,Special Topics in Operations Mgt./Mgt. Sci.,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
163,40907,Healthcare Operations,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
164,41000,Business Statistics,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
165,41100,Applied Regression Analysis,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
166,41201,Big Data,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
167,41202,Analysis of Financial Time Series,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
168,41203,Financial Econometrics,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
169,41204,Machine Learning,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
170,41205,Data Analysis with R,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
171,41301,"Statistical Insight into Marketing, Consulting, and Entrepreneurship",2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
172,41600,Econometrics and Statistics Colloquium,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
173,41901,Probability and Statistics,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
174,41902,Statistical Inference,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
175,41903,Applied Econometrics,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
176,41910,Time-series Analysis for Forecasting and Model Building,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
177,41912,Applied Multivariate Analysis,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
178,42001,Competitive Strategy,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
179,42002,Business Policy,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
180,42102,The Strategy Symposium,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
181,42108,Corporate Governance,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
182,42110,Strategic Investment Decisions,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
183,42116,Game Theory,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
184,42117,Platform Competition,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
185,42118,Business Applications of Natural Language Processing,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
186,42121,Merger and Acquisition Strategy,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
187,42123,"Reputation, Regulation and Communications - How Media Influences Business",2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
188,42124,Storytelling and Narratives in Business,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
189,42201,The Legal Infrastructure of Business,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
190,42701,Strategy Lab,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
191,42704,Integrated Strategic Management,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
192,42705,"Reputation, Regulation and Communications - How Media Influences Business - Lab",2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
193,42706,Entrepreneurship: Urban Opportunities and Solutions I,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
194,42707,Entrepreneurship: Urban Opportunities and Solutions II,2017-11-15 03:29:37 UTC,2017-11-15 03:29:37 UTC
